Name,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y,Change,Volume
Shell Companies,59.46B,113.55,804.95,2.32,21.27,2.2,152.44,,,0.4894,,-0.0043,19240000.0
Silver,23.93B,144.74,27.05,4.98,12.25,5.67,15.33,50.42,0.21719999999999998,0.2907,0.2341,0.0562,47540000.0
Software - Application,2041.04B,30.31,18.19,1.58,4.99,4.96,13.49,20.6,0.1242,0.1916,0.19649999999999998,0.0305,604540000.0
Software - Infrastructure,4782.43B,29.68,22.37,1.47,5.72,7.63,19.5,37.46,0.15289999999999998,0.20170000000000002,0.1723,0.0077,723010000.0
Solar,58.10B,24.6,13.7,1.37,1.76,2.18,3.95,28.5,0.0915,0.17980000000000002,0.1578,-0.057800000000000004,88300000.0
Specialty Business Services,329.14B,32.52,21.38,2.98,2.74,4.96,25.92,24.6,0.17489999999999997,0.109,0.0984,0.022400000000000003,60000000.0
Specialty Chemicals,722.32B,43.03,21.5,3.74,2.75,3.94,23.89,38.41,0.17620000000000002,0.1151,0.0525,-0.009899999999999999,59010000.0
Specialty Industrial Machinery,1293.10B,38.59,25.76,3.21,4.43,6.67,32.82,35.55,0.046,0.1202,0.0697,0.0046,101920000.0
Specialty Retail,206.50B,24.72,20.61,2.63,1.07,5.64,11.8,23.65,0.1616,0.09380000000000001,0.0746,0.0042,44080000.0
Staffing & Employment Services,11.89B,18.69,9.12,0.94,0.25,1.67,2.26,12.01,0.021099999999999997,0.1991,0.0848,0.034300000000000004,10820000.0
Steel,197.07B,22.94,12.22,0.84,0.79,1.16,7.02,92.0,0.065,0.2738,0.07780000000000001,-0.0049,33220000.0
Telecom Services,1201.60B,12.58,11.86,1.03,1.44,1.94,10.77,10.0,0.1128,0.12179999999999999,0.0281,-0.0098,153140000.0
Textile Manufacturing,1.79B,,18.56,,0.93,1.75,11.54,21.24,0.1431,,0.0512,0.0226,341310.0
Thermal Coal,14.59B,30.7,12.1,3.33,1.31,1.44,11.81,20.42,-0.0388,0.0922,0.1477,-0.0118,4450000.0
Tobacco,550.84B,19.39,15.4,2.53,5.6,8.1,34.24,21.46,0.0787,0.0766,0.0381,-0.0086,19270000.0
Tools & Accessories,89.71B,30.56,20.24,2.39,2.28,3.32,27.7,24.31,0.0583,0.128,0.0816,0.0083,7870000.0
Travel Services,478.59B,22.48,15.36,1.42,2.99,8.17,8.27,19.51,1.1244,0.158,0.32170000000000004,0.0222,67400000.0
Trucking,111.14B,53.46,28.49,2.44,1.99,4.11,69.52,40.24,0.032400000000000005,0.2189,0.0571,0.0401,14740000.0
Uranium,83.29B,165.8,86.44,7.6,26.17,8.53,18.82,106.32,-0.09949999999999999,0.2181,0.1537,-0.009399999999999999,74400000.0
Utilities - Diversified,115.03B,23.93,15.17,2.24,1.75,2.07,16.59,78.8,0.1315,0.1066,0.06559999999999999,0.0054,24310000.0
Utilities - Independent Power Producers,257.17B,47.52,20.78,2.43,2.92,8.95,19.95,83.83,0.28190000000000004,0.1956,0.1264,-0.0021,26660000.0
Utilities - Regulated Electric,1331.47B,19.82,16.43,2.17,2.74,2.13,44.31,164.85,0.1056,0.0915,0.0616,-0.0049,137910000.0
Utilities - Regulated Gas,110.06B,21.88,15.24,2.53,2.45,2.08,44.86,193.8,0.0668,0.0864,0.07769999999999999,0.0075,16410000.0
Utilities - Regulated Water,70.29B,20.12,19.26,1.56,4.19,2.24,26.24,238.95,0.1114,0.12890000000000001,0.0814,-0.005600000000000001,7210000.0
Utilities - Renewable,82.15B,153.4,20.61,3.24,2.82,2.62,5.83,23.56,0.1501,0.47350000000000003,0.1027,-0.0021,23460000.0
Waste Management,247.90B,39.53,28.24,3.45,3.68,6.09,136.82,33.76,0.19,0.11460000000000001,0.1101,0.0219,14740000.0
