ticker,name,sector,industry,marketCap
TEL,TE Connectivity plc,Technology,Electronic Components,61017030656.0
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,55486697472.0
ARES,Ares Management Corporation,Financial Services,Asset Management,58545893376.0
ITUB,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional,72530264064.0
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,56318308352.0
NU,Nu Holdings Ltd.,Financial Services,Banks - Regional,71518781440.0
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,58225057792.0
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,56504680448.0
CNI,Canadian National Railway Company,Industrials,Railroads,60410077184.0
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,60371578880.0
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,61126135808.0
DEO,Diageo plc,Consumer Defensive,Beverages - Wineries & Distilleries,62130958336.0
NWG,NatWest Group plc,Financial Services,Banks - Regional,56253353984.0
E,Eni S.p.A.,Energy,Oil & Gas Integrated,53834567680.0
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,61532065792.0
COR,"Cencora, Inc.",Healthcare,Medical Distribution,56536760320.0
AMX,"América Móvil, S.A.B. de C.V.",Communication Services,Telecom Services,60329218048.0
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,54520504320.0
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,68146221056.0
AFL,Aflac Incorporated,Financial Services,Insurance - Life,57152040960.0
VRT,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,48707137536.0
MFC,Manulife Financial Corporation,Financial Services,Insurance - Life,52230107136.0
CPNG,"Coupang, Inc.",Consumer Cyclical,Internet Retail,52103340032.0
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,54635438080.0
FLUT,Flutter Entertainment plc,Consumer Cyclical,Gambling,53996187648.0
GLW,Corning Incorporated,Technology,Electronic Components,57419169792.0
SRE,Sempra,Utilities,Utilities - Diversified,53868085248.0
MPLX,MPLX LP,Energy,Oil & Gas Midstream,51840090112.0
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,53982883840.0
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,55313276928.0
MET,"MetLife, Inc.",Financial Services,Insurance - Life,54106513408.0
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,48100765696.0
LNG,"Cheniere Energy, Inc.",Energy,Oil & Gas Midstream,53144297472.0
O,Realty Income Corporation,Real Estate,REIT - Retail,53724618752.0
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,53610090496.0
PSA,Public Storage,Real Estate,REIT - Industrial,51686694912.0
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,51941314560.0
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,48477933568.0
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,54899453952.0
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,51120697344.0
CTVA,"Corteva, Inc.",Basic Materials,Agricultural Inputs,50382434304.0
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,55782252544.0
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,48531963904.0
WCN,"Waste Connections, Inc.",Industrials,Waste Management,47517237248.0
SU,Suncor Energy Inc.,Energy,Oil & Gas Integrated,50128699392.0
TRP,TC Energy Corporation,Energy,Oil & Gas Midstream,54123139072.0
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,54953123840.0
XYZ,"Block, Inc.",Technology,Software - Infrastructure,48547270656.0
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,43172495360.0
HMC,"Honda Motor Co., Ltd.",Consumer Cyclical,Auto Manufacturers,45298753536.0
TGT,Target Corporation,Consumer Defensive,Discount Stores,43613216768.0
EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,47754715136.0
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,48239452160.0
VEEV,Veeva Systems Inc.,Healthcare,Health Information Services,44124037120.0
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,46548901888.0
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,44852817920.0
FERG,Ferguson Enterprises Inc.,Industrials,Industrial Distribution,46388568064.0
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,45051600896.0
ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies,39522390016.0
TAK,Takeda Pharmaceutical Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,47976091648.0
HEI,HEICO Corporation,Industrials,Aerospace & Defense,37796229120.0
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,47222210560.0
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,46869188608.0
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,41089257472.0
HLN,Haleon plc,Healthcare,Drug Manufacturers - Specialty & Generic,43914190848.0
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,46842953728.0
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,50526052352.0
MSCI,MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,43921768448.0
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,36467277824.0
KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,39743938560.0
WPM,Wheaton Precious Metals Corp.,Basic Materials,Gold,45586161664.0
VALE,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,43883057152.0
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,42680299520.0
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,40192385024.0
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,40789467136.0
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,43239010304.0
CRCL,Circle Internet Group,Financial Services,Capital Markets,33129488384.0
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,38613209088.0
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,39324168192.0
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,38481719296.0
VG,,Energy,Oil & Gas Midstream,31563350016.0
HSY,The Hershey Company,Consumer Defensive,Confectioners,37250535424.0
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,35527770112.0
B,,Basic Materials,Gold,45481377792.0
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,35426848768.0
TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,36100608000.0
CUK,Carnival Corporation & plc,Consumer Cyclical,Travel Services,38316294144.0
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,35554623488.0
FICO,Fair Isaac Corporation,Technology,Software - Application,36524990464.0
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,38594072576.0
VMC,Vulcan Materials Company,Basic Materials,Building Materials,38469222400.0
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,39560347648.0
BSBR,Banco Santander (Brasil) S.A.,Financial Services,Banks - Regional,39596142592.0
DAL,"Delta Air Lines, Inc.",Industrials,Airlines,40339124224.0
HIG,"The Hartford Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,37201866752.0
SLF,Sun Life Financial Inc.,Financial Services,Insurance - Diversified,32843972608.0
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,38617358336.0
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,31569690624.0
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,37172621312.0
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,36021977088.0
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,34281947136.0
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,33901989888.0
CCJ,Cameco Corporation,Energy,Uranium,33694601216.0
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,35624611840.0
RJF,"Raymond James Financial, Inc.",Financial Services,Asset Management,33783625728.0
CHT,"Chunghwa Telecom Co., Ltd.",Communication Services,Telecom Services,33981046784.0
TME,Tencent Music Entertainment Group,Communication Services,Internet Content & Information,38166851584.0
WDS,Woodside Energy Group Ltd,Energy,Oil & Gas E&P,32620525568.0
TKO,"TKO Group Holdings, Inc.",Communication Services,Entertainment,15569869824.0
EQT,EQT Corporation,Energy,Oil & Gas E&P,32351424512.0
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,32437700608.0
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,33079404544.0
EL,The Estée Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,33012619264.0
ONON,On Holding AG,Consumer Cyclical,Footwear & Accessories,14720378880.0
PUK,Prudential plc,Financial Services,Insurance - Life,34115035136.0
NUE,Nucor Corporation,Basic Materials,Steel,34138740736.0
STT,State Street Corporation,Financial Services,Asset Management,32616415232.0
EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,31817469952.0
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,34457120768.0
FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",Consumer Defensive,Beverages - Brewers,34900238336.0
QSR,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants,28786905088.0
FNV,Franco-Nevada Corporation,Basic Materials,Gold,36301074432.0
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,28155817984.0
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,31513204736.0
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,32207710208.0
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,28553422848.0
PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,33582993408.0
EFX,Equifax Inc.,Industrials,Consulting Services,30343421952.0
RKT,"Rocket Companies, Inc.",Financial Services,Mortgage Finance,37506961408.0
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,30940387328.0
JBS,JBS N.V.,Consumer Defensive,Packaged Foods,35955720192.0
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,34296995840.0
TEF,"Telefónica, S.A.",Communication Services,Telecom Services,30481463296.0
KB,KB Financial Group Inc.,Financial Services,Banks - Regional,28644198400.0
BBD,Banco Bradesco S.A.,Financial Services,Banks - Regional,30530433024.0
NTR,Nutrien Ltd.,Basic Materials,Agricultural Inputs,27996635136.0
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,27269480448.0
WIT,Wipro Limited,Technology,Information Technology Services,29730996224.0
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,29940514816.0
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,27885713408.0
HUBS,"HubSpot, Inc.",Technology,Software - Application,25459726336.0
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,28086425600.0
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,26230147072.0
EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,27753803776.0
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,28366899200.0
TOST,"Toast, Inc.",Technology,Software - Infrastructure,26293299200.0
HUM,Humana Inc.,Healthcare,Healthcare Plans,36521795584.0
CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream,26738812928.0
K,Kellanova,Consumer Defensive,Packaged Foods,27639685120.0
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,27401545728.0
CVE,Cenovus Energy Inc.,Energy,Oil & Gas Integrated,29917767680.0
STLA,Stellantis N.V.,Consumer Cyclical,Auto Manufacturers,27818373120.0
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,27998658560.0
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,29616805888.0
UI,Ubiquiti Inc.,Technology,Communication Equipment,31951177728.0
GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,26376062976.0
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,26981507072.0
IT,"Gartner, Inc.",Technology,Information Technology Services,19024076800.0
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,26970114048.0
RDDT,"Reddit, Inc.",Communication Services,Internet Content & Information,42125074432.0
SYF,Synchrony Financial,Financial Services,Credit Services,28402905088.0
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,31978278912.0
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,26800123904.0
IX,ORIX Corporation,Financial Services,Financial Conglomerates,29218320384.0
BBDO,Banco Bradesco S.A.,Financial Services,Banks - Regional,30530424832.0
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,30096265216.0
WRB,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,27191515136.0
VLTO,Veralto Corporation,Industrials,Pollution & Treatment Controls,26352216064.0
PINS,"Pinterest, Inc.",Communication Services,Internet Content & Information,24905836544.0
PHG,Koninklijke Philips N.V.,Healthcare,Medical Devices,26216830976.0
VIK,Viking Holdings Ltd,Consumer Cyclical,Travel Services,28210251776.0
TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments,25233983488.0
EQR,Equity Residential,Real Estate,REIT - Residential,26022320128.0
MKL,Markel Group Inc.,Financial Services,Insurance - Property & Casualty,24786028544.0
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,25104611328.0
MT,ArcelorMittal S.A.,Basic Materials,Steel,25369946112.0
DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,24527788032.0
AU,AngloGold Ashanti plc,Basic Materials,Gold,28598794240.0
SW,Smurfit Westrock Plc,Consumer Cyclical,Packaging & Containers,24727840768.0
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,24619540480.0
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,26667853824.0
SHG,"Shinhan Financial Group Co., Ltd.",Financial Services,Banks - Regional,22929928192.0
JBL,Jabil Inc.,Technology,Electronic Components,21982150656.0
TU,TELUS Corporation,Communication Services,Telecom Services,25147248640.0
FTS,Fortis Inc.,Utilities,Utilities - Regulated Electric,25052098560.0
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,23777339392.0
FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,24816302080.0
FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,25186363392.0
HPQ,HP Inc.,Technology,Computer Hardware,26676396032.0
STM,STMicroelectronics N.V.,Technology,Semiconductors,24240799744.0
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,22694615040.0
TYL,"Tyler Technologies, Inc.",Technology,Software - Application,24351201280.0
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,24128169984.0
RF,Regions Financial Corporation,Financial Services,Banks - Regional,24440313856.0
